Entrez.ID	Gene symbol	Tissue specificity
100039795	Ildr2	colon_sigmoid
100213	Rusc2	colon_sigmoid
102657	Cd276	colon_sigmoid
103967	Dnm3	colon_sigmoid
104069	Sncb	colon_sigmoid
104158	Ces1d	colon_sigmoid
105000	Dnal1	colon_sigmoid
105827	Amigo2	colon_sigmoid
107589	Mylk	colon_sigmoid
108672	Zdhhc15	colon_sigmoid
109700	Itga1	colon_sigmoid
110075	Bmp3	colon_sigmoid
11303	Abca1	colon_sigmoid
114873	Dscaml1	colon_sigmoid
11639	Ak4	colon_sigmoid
116847	Prelp	colon_sigmoid
12038	Bche	colon_sigmoid
12288	Cacna1c	colon_sigmoid
12373	Casq2	colon_sigmoid
12389	Cav1	colon_sigmoid
12587	Mia	colon_sigmoid
12709	Ckb	colon_sigmoid
12759	Clu	colon_sigmoid
12826	Col4a1	colon_sigmoid
12827	Col4a2	colon_sigmoid
12877	Cpeb1	colon_sigmoid
13384	Mpp3	colon_sigmoid
13483	Dpp6	colon_sigmoid
13838	Epha4	colon_sigmoid
14168	Fgf13	colon_sigmoid
14183	Fgfr2	colon_sigmoid
14218	Sh3pxd2a	colon_sigmoid
14587	Gfra3	colon_sigmoid
14756	Gpld1	colon_sigmoid
14772	Grk4	colon_sigmoid
14783	Grb10	colon_sigmoid
16002	Igf2	colon_sigmoid
16010	Igfbp4	colon_sigmoid
16467	Atcay	colon_sigmoid
16521	Kcnj5	colon_sigmoid
16570	Kif3c	colon_sigmoid
16574	Kif5c	colon_sigmoid
16679	Krt86	colon_sigmoid
16716	Ky	colon_sigmoid
16998	Ltbp3	colon_sigmoid
171486	Cd99l2	colon_sigmoid
17528	Mpz	colon_sigmoid
17754	Map1a	colon_sigmoid
17762	Mapt	colon_sigmoid
18049	Ngf	colon_sigmoid
18188	Nrtn	colon_sigmoid
18214	Ddr2	colon_sigmoid
18546	Pcp4	colon_sigmoid
18574	Pde1b	colon_sigmoid
18647	Cdk14	colon_sigmoid
